Fecha,Producto,Categoría,Cantidad,Precio Unitario,Total Venta
2024-04-12,Smartphone,Accesorios,2,800,1600
2025-03-11,Mouse,Accesorios,1,50,50
2024-12-14,Tablet,Computación,3,500,1500
2024-09-27,Smartphone,Electrónica,6,800,4800
2024-04-16,Smartphone,Electrónica,8,800,6400
2024-03-12,Smartphone,Computación,9,800,7200
2024-07-07,Laptop,Electrónica,7,1200,8400
2024-01-21,Impresora,Accesorios,4,200,800
2024-04-12,Laptop,Electrónica,6,1200,7200
2024-05-01,Laptop,Accesorios,5,1200,6000
2025-04-11,Tablet,Computación,8,500,4000
2024-08-02,Teclado,Electrónica,1,100,100
2024-11-26,Impresora,Computación,1,200,200
2025-04-03,Mouse,Electrónica,6,50,300
2024-03-28,Monitor,Accesorios,2,300,600
2025-01-07,Smartphone,Computación,5,800,4000
2024-04-09,Mouse,Electrónica,1,50,50
2024-12-25,Smartphone,Accesorios,7,800,5600
2024-05-31,Tablet,Computación,1,500,500
2024-05-10,Smartphone,Computación,4,800,3200
2024-05-29,Laptop,Electrónica,9,1200,10800
2024-11-04,Impresora,Electrónica,1,200,200
2024-09-14,Monitor,Electrónica,4,300,1200
2024-12-09,Auriculares,Accesorios,6,150,900
2025-05-06,Smartphone,Electrónica,6,800,4800
2025-02-17,Mouse,Computación,8,50,400
2024-10-20,Laptop,Computación,1,1200,1200
2025-01-20,Auriculares,Electrónica,7,150,1050
2024-07-10,Monitor,Electrónica,1,300,300
2025-03-19,Auriculares,Computación,7,150,1050
2024-10-03,Laptop,Accesorios,3,1200,3600
2024-06-09,Impresora,Electrónica,8,200,1600
2025-04-04,Impresora,Electrónica,3,200,600
2024-11-09,Teclado,Computación,1,100,100
2024-01-22,Impresora,Electrónica,8,200,1600
2024-09-09,Teclado,Accesorios,3,100,300
2024-08-23,Auriculares,Computación,2,150,300
2024-12-10,Tablet,Electrónica,1,500,500
2024-02-18,Mouse,Computación,3,50,150
2025-04-19,Mouse,Electrónica,2,50,100
2024-02-28,Auriculares,Electrónica,2,150,300
2024-06-18,Smartphone,Electrónica,6,800,4800
2025-04-20,Smartphone,Accesorios,1,800,800
2024-07-06,Impresora,Accesorios,2,200,400
